champ,valeur
effectif_annee_1,426.0
effectif_annee_2,431.0
effectif_annee_3,537.0
charges_de_personnel_annee_1,115.0
charges_de_personnel_annee_2,127.0
charges_de_personnel_annee_3,138.0
charges_exploitation_hd_annee_1,141.0
charges_exploitation_hd_annee_2,153.0
charges_exploitation_hd_annee_3,165.0
chiffre_affaires_annee_1,67.0
chiffre_affaires_annee_2,126.0
chiffre_affaires_annee_3,288.0
resultat_net_annee_1,39.0
resultat_net_annee_2,65.0
resultat_net_annee_3,153.0
valeur_ajoutee_annee_1,42.0
valeur_ajoutee_annee_2,100.0
valeur_ajoutee_annee_3,261.0
investissements_annee_1,35.0
investissements_annee_2,50.0
investissements_annee_3,17.0
_dossier,ANEP_AGENCE_NATIONALE_DES_EQUIPEMENTS_PUBLICS
