champ,valeur
effectif_annee_1,2328.0
effectif_annee_2,2327.0
effectif_annee_3,2343.0
charges_de_personnel_annee_1,352.0
charges_de_personnel_annee_2,398.0
charges_de_personnel_annee_3,393.0
charges_exploitation_hd_annee_1,1363.0
charges_exploitation_hd_annee_2,1422.0
charges_exploitation_hd_annee_3,1394.0
chiffre_affaires_annee_1,2317.0
chiffre_affaires_annee_2,2770.0
chiffre_affaires_annee_3,3101.0
valeur_ajoutee_annee_1,1516.0
valeur_ajoutee_annee_2,1873.0
valeur_ajoutee_annee_3,2229.0
impot_societes_annee_1,36.0
impot_societes_annee_2,79.0
impot_societes_annee_3,240.0
resultat_net_part_du_groupe_annee_1,-20.0
resultat_net_part_du_groupe_annee_2,155.0
resultat_net_part_du_groupe_annee_3,399.0
caf_annee_1,874.0
caf_annee_2,939.0
caf_annee_3,1125.0
total_actif_annee_1,23755.0
total_actif_annee_2,24855.0
total_actif_annee_3,21500.0
fonds_propres_annee_1,9841.0
fonds_propres_annee_2,9859.0
fonds_propres_annee_3,10209.0
dettes_financement_annee_1,7286.0
dettes_financement_annee_2,6869.0
dettes_financement_annee_3,6260.0
investissements_annee_1,911.0
investissements_annee_2,515.0
investissements_annee_3,650.0
_dossier,ANP_GROUPE_AGENCE_NATIONALE_DES_PORTS
