champ,valeur
effectif_annee_1,8466.0
effectif_annee_2,8374.0
effectif_annee_3,8405.0
charges_de_personnel_annee_1,1420.0
charges_de_personnel_annee_2,1414.0
charges_de_personnel_annee_3,1489.0
charges_exploitation_hd_annee_1,3389.0
charges_exploitation_hd_annee_2,4153.0
charges_exploitation_hd_annee_3,4418.0
chiffre_affaires_annee_1,3075.0
chiffre_affaires_annee_2,3409.0
chiffre_affaires_annee_3,3686.0
valeur_ajoutee_annee_1,1114.0
valeur_ajoutee_annee_2,752.0
valeur_ajoutee_annee_3,760.0
impot_societes_annee_1,37.0
impot_societes_annee_2,198.0
impot_societes_annee_3,494.0
resultat_net_part_du_groupe_annee_1,-114.0
resultat_net_part_du_groupe_annee_2,285.0
resultat_net_part_du_groupe_annee_3,574.0
total_actif_annee_1,102541.0
total_actif_annee_2,105002.0
total_actif_annee_3,112558.0
fonds_propres_annee_1,2836.0
fonds_propres_annee_2,3009.0
fonds_propres_annee_3,3468.0
dettes_financement_annee_1,2036.0
dettes_financement_annee_2,3112.0
dettes_financement_annee_3,3355.0
investissements_annee_1,359.0
investissements_annee_2,218.0
investissements_annee_3,69.0
_dossier,BAM_GROUPE_POSTE_MAROC
