champ,valeur
effectif_annee_1,417.0
effectif_annee_2,417.0
effectif_annee_3,409.0
charges_de_personnel_annee_1,141.0
charges_de_personnel_annee_2,145.0
charges_de_personnel_annee_3,156.0
cotisations_contributions_annee_1,41266.0
cotisations_contributions_annee_2,40285.0
cotisations_contributions_annee_3,43951.0
pensions_prestations_annee_1,47648.0
pensions_prestations_annee_2,50157.0
pensions_prestations_annee_3,53081.0
solde_technique_annee_1,-6381.0
solde_technique_annee_2,-9871.0
solde_technique_annee_3,9130.0
fonds_propres_annee_1,69687.0
fonds_propres_annee_2,64996.0
fonds_propres_annee_3,61310.0
total_actif_annee_1,73402.0
total_actif_annee_2,69163.0
total_actif_annee_3,66272.0
investissements_annee_1,19.0
investissements_annee_3,31.0
_dossier,CMR_CAISSE_MAROCAINE_DES_RETRAITES
