champ,valeur
effectif_annee_2,946898.0
effectif_annee_3,878.0
charges_de_personnel_annee_2,548555.0
charges_de_personnel_annee_3,528.0
charges_exploitation_hd_annee_1,3.0
charges_exploitation_hd_annee_2,4703108.0
charges_exploitation_hd_annee_3,4004.0
chiffre_affaires_annee_1,4.0
chiffre_affaires_annee_2,3354266.0
chiffre_affaires_annee_3,5402.0
valeur_ajoutee_annee_2,780936.0
valeur_ajoutee_annee_3,1540.0
impot_societes_annee_2,158101.0
impot_societes_annee_3,283.0
resultat_net_part_du_groupe_annee_3,257.0
caf_annee_3,344.0
total_actif_annee_1,64.0
total_actif_annee_2,70665732.0
total_actif_annee_3,67132.0
fonds_propres_annee_1,5.0
fonds_propres_annee_2,8964588.0
fonds_propres_annee_3,4895.0
dettes_financement_annee_1,4.0
dettes_financement_annee_2,5785089.0
dettes_financement_annee_3,5143.0
investissements_annee_1,4.0
investissements_annee_2,8464548.0
investissements_annee_3,5517.0
_dossier,HAO_GROUPE_AL_OMRANE
