champ,valeur
effectif_annee_1,814.0
effectif_annee_2,797.0
effectif_annee_3,789.0
charges_de_personnel_annee_1,157.0
charges_de_personnel_annee_2,173.0
charges_de_personnel_annee_3,169.0
charges_exploitation_hd_annee_1,468.0
charges_exploitation_hd_annee_2,543.0
charges_exploitation_hd_annee_3,591.0
chiffre_affaires_annee_1,769.0
chiffre_affaires_annee_2,819.0
chiffre_affaires_annee_3,882.0
resultat_net_annee_1,127.0
resultat_net_annee_2,-42.0
resultat_net_annee_3,153.0
valeur_ajoutee_annee_1,459.0
valeur_ajoutee_annee_2,450.0
valeur_ajoutee_annee_3,460.0
total_actif_annee_1,1044.0
total_actif_annee_2,1331.0
total_actif_annee_3,1452.0
_dossier,NARSA_AGENCE_NATIONALE_DE_LA_SECURITE_ROUTIERE
