champ,valeur
effectif_annee_1,20587.0
effectif_annee_2,21170.0
effectif_annee_3,22331.0
charges_de_personnel_annee_1,11615.0
charges_de_personnel_annee_2,11518.0
charges_de_personnel_annee_3,13059.0
charges_exploitation_hd_annee_1,78271.0
charges_exploitation_hd_annee_2,55252.0
charges_exploitation_hd_annee_3,61341.0
chiffre_affaires_annee_1,114574.0
chiffre_affaires_annee_2,91277.0
chiffre_affaires_annee_3,96989.0
valeur_ajoutee_annee_1,41911.0
valeur_ajoutee_annee_2,40863.0
valeur_ajoutee_annee_3,51285.0
impot_societes_annee_1,6122.0
impot_societes_annee_2,2105.0
impot_societes_annee_3,4863.0
resultat_net_part_du_groupe_annee_1,28185.0
resultat_net_part_du_groupe_annee_2,14369.0
resultat_net_part_du_groupe_annee_3,20466.0
total_actif_annee_1,226012.0
total_actif_annee_2,249937.0
total_actif_annee_3,306133.0
fonds_propres_annee_1,108052.0
fonds_propres_annee_2,117051.0
fonds_propres_annee_3,127563.0
dettes_financement_annee_1,59877.0
dettes_financement_annee_2,61235.0
dettes_financement_annee_3,79894.0
investissements_annee_1,20050.0
investissements_annee_2,27400.0
investissements_annee_3,43588.0
_dossier,OCP_GROUPE_OCP
