champ,valeur
effectif_annee_1,2466.0
effectif_annee_2,2593.0
effectif_annee_3,2806.0
charges_de_personnel_annee_1,1012.0
charges_de_personnel_annee_2,1151.0
charges_de_personnel_annee_3,1276.0
charges_exploitation_hd_annee_1,2072.0
charges_exploitation_hd_annee_2,2294.0
charges_exploitation_hd_annee_3,2553.0
chiffre_affaires_annee_1,3875.0
chiffre_affaires_annee_2,4710.0
chiffre_affaires_annee_3,5372.0
valeur_ajoutee_annee_1,2965.0
valeur_ajoutee_annee_2,3717.0
valeur_ajoutee_annee_3,4251.0
impot_societes_annee_1,16.0
impot_societes_annee_2,12.0
impot_societes_annee_3,319.0
resultat_net_annee_1,323.0
resultat_net_annee_2,1066.0
resultat_net_annee_3,1118.0
caf_annee_1,1548.0
caf_annee_2,1691.0
caf_annee_3,2122.0
total_actif_annee_1,15183.0
total_actif_annee_2,15157.0
total_actif_annee_3,15566.0
fonds_propres_annee_1,3974.0
fonds_propres_annee_2,5036.0
fonds_propres_annee_3,6012.0
dettes_financement_annee_1,7989.0
dettes_financement_annee_2,7305.0
dettes_financement_annee_3,6546.0
investissements_annee_1,1045.0
investissements_annee_2,1400.0
investissements_annee_3,1441.0
_dossier,ONDA_OFFICE_NATIONAL_DES_AEROPORTS
