champ,valeur
effectif_annee_1,409.0
effectif_annee_2,362.0
effectif_annee_3,356.0
charges_de_personnel_annee_1,191.0
charges_de_personnel_annee_2,191.0
charges_de_personnel_annee_3,189.0
charges_exploitation_hd_annee_1,398.0
charges_exploitation_hd_annee_2,358.0
charges_exploitation_hd_annee_3,379.0
chiffre_affaires_annee_1,327.0
chiffre_affaires_annee_2,493.0
chiffre_affaires_annee_3,481.0
valeur_ajoutee_annee_1,234.0
valeur_ajoutee_annee_2,424.0
valeur_ajoutee_annee_3,377.0
impot_societes_annee_1,24.0
impot_societes_annee_2,58.0
impot_societes_annee_3,26.0
resultat_net_annee_1,345.0
resultat_net_annee_2,188.0
resultat_net_annee_3,96.0
caf_annee_1,349.0
caf_annee_2,373.0
caf_annee_3,258.0
total_actif_annee_1,4271.0
total_actif_annee_2,4597.0
total_actif_annee_3,4777.0
fonds_propres_annee_1,3685.0
fonds_propres_annee_2,4109.0
fonds_propres_annee_3,4235.0
_dossier,ONHYM_OFFICE_NATIONAL_DES_HYDROCARBURES_ET_DES_MINES
