champ,valeur
effectif_annee_1,4466.0
effectif_annee_2,4586.0
effectif_annee_3,4932.0
charges_de_personnel_annee_1,2445.0
charges_de_personnel_annee_2,2865.0
charges_de_personnel_annee_3,3083.0
chiffre_affaires_annee_1,12899.0
chiffre_affaires_annee_2,19567.0
chiffre_affaires_annee_3,19843.0
impot_societes_annee_1,86.0
impot_societes_annee_2,142.0
impot_societes_annee_3,228.0
resultat_net_part_du_groupe_annee_1,-1527.0
resultat_net_part_du_groupe_annee_2,1385.0
resultat_net_part_du_groupe_annee_3,821.0
total_actif_annee_1,21434.0
total_actif_annee_2,23393.0
total_actif_annee_3,26036.0
fonds_propres_annee_1,1256.0
fonds_propres_annee_2,2683.0
fonds_propres_annee_3,8195.0
dettes_financement_annee_1,8766.0
dettes_financement_annee_2,7531.0
dettes_financement_annee_3,6236.0
investissements_annee_1,373.0
investissements_annee_2,1110.0
investissements_annee_3,291.0
_dossier,RAM_GROUPE_COMPAGNIE_NATIONALE_DE_TRANSPORT_AERIEN_ROYAL_AIR_MAROC
